Date,Open,High,Low,Close
07/28/2006,"1,278.55","1,280.42","1,263.15","1,278.55"
07/27/2006,"1,263.20","1,275.85","1,261.92","1,263.20"
07/26/2006,"1,268.40","1,273.89","1,261.94","1,268.40"
07/25/2006,"1,268.88","1,272.39","1,257.19","1,268.88"
07/24/2006,"1,260.91","1,262.50","1,240.25","1,260.91"
07/21/2006,"1,240.29","1,250.96","1,238.72","1,240.29"
07/20/2006,"1,249.13","1,262.56","1,249.13","1,249.13"
07/19/2006,"1,259.81","1,261.81","1,236.74","1,259.81"
07/18/2006,"1,236.86","1,239.86","1,224.54","1,236.86"
07/17/2006,"1,234.49","1,240.07","1,231.49","1,234.49"
07/14/2006,"1,236.20","1,242.70","1,228.45","1,236.20"
07/13/2006,"1,242.29","1,258.58","1,241.43","1,242.29"
07/12/2006,"1,258.60","1,273.31","1,257.29","1,258.60"
07/11/2006,"1,272.52","1,273.64","1,259.65","1,272.52"
07/10/2006,"1,267.34","1,274.06","1,264.46","1,267.34"
07/07/2006,"1,265.48","1,275.38","1,263.13","1,265.48"
07/06/2006,"1,274.08","1,278.32","1,270.58","1,274.08"
07/05/2006,"1,270.91","1,280.05","1,265.91","1,270.91"
07/03/2006,"1,280.19","1,280.38","1,270.06","1,280.19"
06/30/2006,"1,270.20","1,276.30","1,270.20","1,270.20"
06/29/2006,"1,272.87","1,272.88","1,245.94","1,272.87"
06/28/2006,"1,246.00","1,247.06","1,237.59","1,246.00"
06/27/2006,"1,239.20","1,253.37","1,238.94","1,239.20"
06/26/2006,"1,250.56","1,250.92","1,243.68","1,250.56"
06/23/2006,"1,244.50","1,253.13","1,241.43","1,244.50"
06/22/2006,"1,245.60","1,251.92","1,241.53","1,245.60"
06/21/2006,"1,252.20","1,257.96","1,240.09","1,252.20"
06/20/2006,"1,240.12","1,249.01","1,238.87","1,240.12"
06/19/2006,"1,240.14","1,255.93","1,237.17","1,240.14"
06/16/2006,"1,251.54","1,256.27","1,246.33","1,251.54"
06/15/2006,"1,256.16","1,258.64","1,230.01","1,256.16"
06/14/2006,"1,230.04","1,231.46","1,219.29","1,230.04"
06/13/2006,"1,223.69","1,243.37","1,222.52","1,223.69"
06/12/2006,"1,236.40","1,255.22","1,236.20","1,236.40"
06/09/2006,"1,252.30","1,262.58","1,250.03","1,252.30"
06/08/2006,"1,257.93","1,259.85","1,235.18","1,257.93"
06/07/2006,"1,256.15","1,272.47","1,255.77","1,256.15"
06/06/2006,"1,263.85","1,269.88","1,254.46","1,263.85"
06/05/2006,"1,265.29","1,288.16","1,264.66","1,265.29"
06/02/2006,"1,288.22","1,290.68","1,280.22","1,288.22"
06/01/2006,"1,285.71","1,285.71","1,269.19","1,285.71"
